λ,espec_0,espec_1,espec_2,espec_3,espec_4,espec_5,espec_6,espec_7,espec_8,espec_9
0.9328384095164014,-0.029088401594949437,268.10811004540045,-282.0940878731995,3451.2293650748543,12460.961217268548,12041.15443265677,-41657.887104218484,-6833.63671241839,54727.07288206578,-53785.959858484915
0.933782076978891,-0.02897040859314073,271.22625251121167,-429.3584890869863,3767.979762577449,12730.402381855904,7648.492357352917,-38027.89809671302,-11990.18653805629,68331.51447734587,-30851.98092757436
0.9347266990636077,-0.028844736621967425,274.051191538134,-572.834929988044,3941.7317697557232,12941.54579802914,5177.76762548871,-32796.514365157076,-38956.4734982585,65215.57009503993,22123.140570253126
0.9356722767362551,-0.02872365148253069,275.51354638217674,-688.6193128751291,4001.595793931062,13056.79455019005,3871.0327402339813,-27475.75574286921,-51781.591416605086,105131.56723069372,16377.876085082797
0.9366188109635146,-0.02863981449155736,272.93480308873,-620.0378877714177,4222.748976362715,12873.62367031215,546.7491417689816,-21842.564522960438,-38064.93641568111,146257.65480665094,38461.142264322916
0.9375663027130454,-0.02854481562582278,270.96340391065223,-589.1779632553003,4311.807433139328,12785.623396465078,-918.2132021313547,-18958.544424067033,-24201.15407957459,214577.79955389752,44498.92387469041
0.9385147529534849,-0.028465990976524868,266.97635390202106,-471.9479951182452,4442.332453473892,12561.078328021826,-2908.3321969610333,-15648.631794086712,10454.237710535564,313138.7951209333,28747.411400937337
0.9394641626544511,-0.02838262213020112,263.5694174303833,-353.6261994591207,4557.1250556475725,12334.127212473062,-4590.860287966121,-13030.215950865071,31244.83219525383,363345.1048695994,36962.78538018979
0.9404145327865426,-0.028287929659269757,260.6682834745466,-263.5633744742546,4563.778968833279,12167.024550603574,-4746.821804355329,-12356.400560879196,56551.14016378634,440171.34585900925,22136.987867224525
0.9413658643213401,-0.028193164243353518,257.91124615728756,-145.4474716255823,4591.806495489355,11900.195493874004,-5237.726978183667,-9816.253904306646,67493.26546628398,446501.7246376096,27185.157949614946
0.9423181582314066,-0.028086213829731494,256.08050730919746,-60.35888807461899,4525.3189412567135,11682.781637830009,-4395.879988433549,-10313.207577727906,69289.5236729614,426733.01074123394,41298.88250841956
0.9432714154902893,-0.027974524408200488,253.74649414612017,44.71487207902618,4386.656703699655,11375.560132617282,-2608.694846857811,-11287.08742412211,77715.01421681365,399000.9645778874,54999.02542327609
0.9442256370725205,-0.027856508772054908,251.79806901952108,150.6156433584083,4166.73364912854,10986.374870280202,-171.30806597401815,-11028.617288342963,63471.146261479815,307479.00077331363,71877.69330714604
0.9451808239536181,-0.02773112062864609,248.6526510077008,279.23389199807326,3803.676956144107,10439.573664904272,4242.926955284054,-12899.714641439901,54885.99565906388,222092.20020068882,87853.818834887
0.9461369771100868,-0.02759380494173833,243.88738616092937,460.7354281920455,3254.933921789134,9654.3800975714,9818.524681942552,-13352.439029867704,51070.48508417054,128461.64536483353,115992.1231286468
0.947094097519419,-0.027451178966973116,238.01845192228797,643.0377577319708,2462.8351267204553,8742.745797797821,17633.604092875936,-15263.269866497605,36417.59899792761,45675.154445961445,100333.69988630108
0.9480521861600962,-0.027283483026164127,228.20448923593818,902.0368188756917,1365.3429974880269,7281.665202336668,26722.482986367664,-10959.202087371017,41443.49055107031,-18399.55553628074,130255.61222606133
0.94901124401159,-0.02709890729279146,215.9544290643736,1240.0749438352639,-101.3207924906591,5498.278293665802,37874.33773323404,-3703.109874116783,43355.65397151856,-76947.99009256299,151892.16317290228
0.9499712720543619,-0.026887515135958814,199.6523426851886,1588.506145067201,-1659.7743602353482,3187.0794537104834,48646.981550398836,8118.964189773546,71269.66029250844,-91934.08640203695,251630.19953019757
0.9509322712698663,-0.026631538904867132,177.04265211232507,2067.4994923440313,-3647.030384001244,-23.33933578252908,59796.78167358998,33346.0024379832,130432.50596133592,-81614.20943863521,455995.640524145
0.95189424264055,-0.026417056054956457,160.0499988063502,2424.629126752719,-5326.417572424249,-2411.847361579418,70509.3452162791,50198.179690642806,156250.0179565689,-81044.28058592507,549068.4467977684
0.9528571871498536,-0.026165299745343207,137.63479987539498,2793.296747518224,-7030.590145978531,-5553.7486309948845,78747.17494728259,79047.63794072579,227413.02681578862,-25755.155514195576,784540.0011408249
0.9538211057822124,-0.02598671114383307,125.60859413892629,3017.858608287402,-8215.02739102111,-7254.6532272638915,85579.79040757233,95705.99294532913,241911.90211652665,-20570.305812493876,841344.5365180308
0.9547859995230578,-0.025862594740460362,121.25606131243651,3005.3721000405035,-8530.627790515444,-7802.672226388098,88389.54152712667,98698.67482271153,239497.27902428023,1102.4305802202864,836590.7632112926
0.9557518693588183,-0.025734659467080524,116.97263689900099,2967.966035768504,-8479.535078437711,-8335.019437986104,86632.01280989019,102928.18189038655,267848.58702722413,57390.78416009157,916871.8770825439
0.9567187162769198,-0.02577502082365675,136.3158075031821,2575.7969047969714,-7277.529565089149,-5589.5451863450935,83063.94091899399,76711.22450549567,162393.3729096677,-4697.212109823229,567605.4360382548
0.9576865412657874,-0.025785296215980896,151.76041296198673,2220.149616131903,-5995.764992793633,-3382.012894331058,76623.09677624394,56658.21548603003,111955.32724292277,-5610.488438668644,347468.0678447
0.9586553453148459,-0.025813447736689088,170.72552046400358,1800.9734211121975,-4104.5080924643025,-670.1272172337431,64527.89478630787,31203.717074896595,76557.88857453817,12092.742834722401,172207.88546611893
0.9596251294145213,-0.025848459314844596,190.4791132419398,1374.9797505967304,-2279.3315596290695,2133.2894101760403,53404.759074451584,6953.50660523898,31391.833325600237,19777.5936124256,-40394.31759306566
0.9605958945562414,-0.025826585137101586,202.68378526462766,1077.3472125641313,-629.3555336222533,3871.0783472189464,39962.293222272696,-5756.943875475709,63372.29041409968,102503.78080153783,-64887.36810674941
0.9615676417324365,-0.025810473334089347,215.86088383799216,767.085619948981,901.481547045397,5717.322099668452,27545.563168679193,-17016.421530253272,49137.934595962266,136223.50084949713,-128612.39362635014
0.9625403719365415,-0.025754805100057867,223.33969559499843,565.7844120201094,1964.3202516974907,6721.169278891891,17306.762487933524,-17680.129449418655,60553.45039060289,187971.62717190335,-116534.04613203526
0.9635140861629959,-0.025683401493604402,228.56031656290628,405.00782338347034,2865.4574485304106,7415.093501838393,7937.573666305398,-16333.469242624109,74882.18547429667,249028.9938288193,-72818.66287131644
0.9644887854072453,-0.02560195490224493,232.40021323301025,270.9481557123007,3442.00527576657,7861.024828975893,1435.1835226263156,-10904.773609935575,56864.92445432915,272353.70879772503,-33508.394991484914
0.9654644706657424,-0.02550697160134913,234.60702891456992,189.40898496415423,3876.3183058253885,8003.103981819007,-3416.7735781254946,-5242.602062523121,61048.77054662439,313714.21298685117,68670.2545408862
0.966441142935948,-0.025411155097266918,236.4936106937332,113.95933744736344,4163.791313632807,8115.709069438396,-6948.036270967166,386.6268853146539,37367.40177868296,325929.09540040285,139900.66655863187
0.9674188032163311,-0.025306693534693874,238.13259856418833,66.28435316700221,4372.897240355658,8010.072902055661,-8580.43536662063,6178.203918400521,28020.301568441046,338369.1856187832,305403.7125209347
0.9683974525063719,-0.02519794347425087,239.01086416134223,46.12296763741266,4516.88631780021,7801.725442686474,-9121.963728973938,9739.459153297654,37439.88902656921,368086.0413027043,479983.76089629123
0.969377091806561,-0.025092309938131673,239.72695813410894,18.684662577934503,4614.556437319211,7633.497443627476,-9702.105927563487,13729.868317077708,36326.95373353775,366177.09512605413,596456.7034926991
0.9703577221184014,-0.024981286414350275,240.4703349612355,6.964726135630434,4688.807736406254,7352.5645188166545,-9272.230549825632,16699.485901518,48866.51630347796,361888.71381091845,777535.5449317058
0.9713393444444091,-0.024878863134303097,240.57705814288778,-26.68558399238741,4720.034932204399,7304.529181872329,-10565.137355206862,18550.878911515796,44227.82436267289,321905.28005349275,774702.8003109039
0.9723219597881141,-0.02477818713749925,240.58149241978694,-58.6924093607671,4737.791000434119,7243.652157079442,-11667.455100091489,21007.09466812175,39381.22315903914,269366.9014152621,757513.884242678
0.9733055691540622,-0.02467540589937301,240.62608966850337,-99.18726228976327,4728.5540832469,7228.168498869063,-12710.136787620546,21863.088284570484,37208.91984214041,219547.8165774673,729579.8902131149
0.9742901735478142,-0.02458100374095297,240.0659562072514,-148.71215464304765,4703.208671254832,7373.282868607746,-15128.158158049579,22473.642931825496,21373.25727583906,145604.3902112679,562991.9741608349
